60, 90, 32

0, 1, 4.8541
4.8541, 0, 1
1, 4.8541, 0
0, -1, 4.8541
4.8541, 0, -1
-1, 4.8541, 0
0, 1, -4.8541
-4.8541, 0, 1
1, -4.8541, 0
0, -1, -4.8541
-4.8541, 0, -1
-1, -4.8541, 0
1, 3.61803, 3.23607
3.23607, 1, 3.61803
3.61803, 3.23607, 1
-1, 3.61803, 3.23607
3.23607, -1, 3.61803
3.61803, 3.23607, -1
1, -3.61803, 3.23607
3.23607, 1, -3.61803
-3.61803, 3.23607, 1
1, 3.61803, -3.23607
-3.23607, 1, 3.61803
3.61803, -3.23607, 1
-1, -3.61803, 3.23607
3.23607, -1, -3.61803
-3.61803, 3.23607, -1
1, -3.61803, -3.23607
-3.23607, 1, -3.61803
-3.61803, -3.23607, 1
-1, 3.61803, -3.23607
-3.23607, -1, 3.61803
3.61803, -3.23607, -1
-1, -3.61803, -3.23607
-3.23607, -1, -3.61803
-3.61803, -3.23607, -1
1.61803, 2, 4.23607
4.23607, 1.61803, 2
2, 4.23607, 1.61803
-1.61803, 2, 4.23607
4.23607, -1.61803, 2
2, 4.23607, -1.61803
1.61803, -2, 4.23607
4.23607, 1.61803, -2
-2, 4.23607, 1.61803
1.61803, 2, -4.23607
-4.23607, 1.61803, 2
2, -4.23607, 1.61803
-1.61803, -2, 4.23607
4.23607, -1.61803, -2
-2, 4.23607, -1.61803
1.61803, -2, -4.23607
-4.23607, 1.61803, -2
-2, -4.23607, 1.61803
-1.61803, 2, -4.23607
-4.23607, -1.61803, 2
2, -4.23607, -1.61803
-1.61803, -2, -4.23607
-4.23607, -1.61803, -2
-2, -4.23607, -1.61803

0, 3
0, 36
0, 39
1, 4
1, 37
1, 40
2, 5
2, 38
2, 41
3, 42
3, 48
4, 43
4, 49
5, 44
5, 50
6, 9
6, 45
6, 54
7, 10
7, 46
7, 55
8, 11
8, 47
8, 56
9, 51
9, 57
10, 52
10, 58
11, 53
11, 59
12, 15
12, 36
12, 38
13, 16
13, 36
13, 37
14, 17
14, 37
14, 38
15, 39
15, 44
16, 40
16, 42
17, 41
17, 43
18, 24
18, 42
18, 47
19, 25
19, 43
19, 45
20, 26
20, 44
20, 46
21, 30
21, 41
21, 45
22, 31
22, 39
22, 46
23, 32
23, 40
23, 47
24, 48
24, 53
25, 49
25, 51
26, 50
26, 52
27, 33
27, 51
27, 56
28, 34
28, 52
28, 54
29, 35
29, 53
29, 55
30, 50
30, 54
31, 48
31, 55
32, 49
32, 56
33, 57
33, 59
34, 57
34, 58
35, 58
35, 59

0, 3, 42, 16, 13, 36
0, 3, 48, 31, 22, 39
0, 36, 12, 15, 39
1, 4, 43, 17, 14, 37
1, 4, 49, 32, 23, 40
1, 37, 13, 16, 40
2, 5, 44, 15, 12, 38
2, 5, 50, 30, 21, 41
2, 38, 14, 17, 41
3, 42, 18, 24, 48
4, 43, 19, 25, 49
5, 44, 20, 26, 50
6, 9, 51, 25, 19, 45
6, 9, 57, 34, 28, 54
6, 45, 21, 30, 54
7, 10, 52, 26, 20, 46
7, 10, 58, 35, 29, 55
7, 46, 22, 31, 55
8, 11, 53, 24, 18, 47
8, 11, 59, 33, 27, 56
8, 47, 23, 32, 56
9, 51, 27, 33, 57
10, 52, 28, 34, 58
11, 53, 29, 35, 59
12, 36, 13, 37, 14, 38
15, 39, 22, 46, 20, 44
16, 40, 23, 47, 18, 42
17, 41, 21, 45, 19, 43
24, 48, 31, 55, 29, 53
25, 49, 32, 56, 27, 51
26, 50, 30, 54, 28, 52
33, 57, 34, 58, 35, 59
